URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/uv/genomics-reporting/ValueSet/hgnc,1.0.0,active,,HGNC,HGNC,"This value set includes all HGNC Codes, which includes multiple code systems. In this guide, Gene IDs from HGNC are used as CodeableConcepts, which must be sent with the HGNC gene ID including the prefix 'HGNC:' as the `code` and the HGNC 'gene symbol' as `display`. CAUTION: HGNC also indexes gene groups by numeric ID (without a prefix), and older systems may send HGNC gene IDs without the prefix, so care must be taken to confirm alignment. We have separately included the genegroup code system to draw attention to this ambiguity and potential error.","StructureDefinition/expression,StructureDefinition/fusion","hl7.terminology.r4,Other"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/GeneticMaterial,2.1.0,draft,,GeneticMaterial,GeneticMaterial,"Genetic material","StructureDefinition/molecular-sequence-5-prime,StructureDefinition/molecular-sequence-3-prime","THO,Other"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/GenomeBuild,2.1.0,draft,,GenomeBuild,GenomeBuild Value Set,"GenomeBuild","StructureDefinition/snp","Other"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/GenomeEntityType,2.1.0,draft,,GenomeEntityType,Genome entity type Value Set,"Type of genome entity","StructureDefinition/molecular-sequence-5-prime,StructureDefinition/molecular-sequence-3-prime,StructureDefinition/genomeentityType","THO"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/Laterality,2.1.0,draft,,Laterality,Tumor Laterality Value Set,"Tumor laterality","StructureDefinition/laterality","THO"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/Morphology,2.1.0,draft,,Morphology,Morphology Value Set,"Cancer morphology","StructureDefinition/tumor-pathology-event","THO"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/MutationPrediction,2.1.0,draft,,MutationPrediction,Mutation prediction Value Set,"Mutation prediction","StructureDefinition/variant-annotation","Other"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/OsirisValidationType,2.1.0,draft,,OsirisValidationType,Osiris Validation Type,"Osiris validation type","StructureDefinition/data-validation","Other"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/PanelName,2.1.0,draft,,PanelName,Panel Name,"Panel Name","StructureDefinition/sequencing-device","THO,Other"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/Parentage,2.1.0,draft,,Parentage,Parentage Value Set,"Parentage","StructureDefinition/family-cancer-history","THO,Other"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/Pathogenicity,2.1.0,draft,,Pathogenicity,Pathogenicity Value Set,"Pathogenicity","StructureDefinition/copy-number,StructureDefinition/snp,StructureDefinition/expression,StructureDefinition/fusion","THO,Other"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/PlatformName,2.1.0,draft,,PlatformName,Platform Name,"Platform Name","StructureDefinition/sequencing-device","THO,Other"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/ROIType,2.1.0,draft,,ROIType,ROI Type Value Set,"ROI Type","StructureDefinition/roi-segmentation","Internal"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/RadiomicsFeaturesVS,2.1.0,draft,,RadiomicsFeaturesVS,Radiomic Features Value Set,"Radiomic Features","StructureDefinition/radiomics-features","Internal,THO"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/ReferenceType,2.1.0,draft,,ReferenceType,Reference Type Value Set,"Annotation reference type","StructureDefinition/annotation-reference","THO,Other"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/ResponseEvaluationStatus,2.1.0,draft,,ResponseEvaluationStatus,Response Status Value Set,"Response evaluation status","StructureDefinition/response-evaluation","THO,Other"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/StorageTemperature,2.1.0,draft,,StorageTemperature,Storage temperature Value Set,"Sample storage temperature","StructureDefinition/onco-biological-sample","THO,Other"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/SurgeryResectionQuality,2.1.0,draft,,SurgeryResectionQuality,Surgery Resection Quality Value Set,"Surgery resection quality","StructureDefinition/onco-surgery","THO,Other"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/TNMVersion,2.1.0,draft,,TNMVersion,TNM Version Value Set,"TNM version",,"Other"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/TechnicalProtocol,2.1.0,draft,,TechnicalProtocol,Analysis Technical Protocol,"Analysis technical protocol","StructureDefinition/sequencing-analysis","Other"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/Topography,2.1.0,draft,,Topography,Topography Value Set,"Cancer topography","StructureDefinition/tumor-pathology-event,StructureDefinition/family-cancer-history,StructureDefinition/onco-biological-sample","THO"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/TreatmentType,2.1.0,draft,,TreatmentType,Treatment Type Value Set,"Treatment type","StructureDefinition/treatment","THO"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/TumorPathologyEventType,2.1.0,draft,,TumorPathologyEventType,Tumor Pathology Event Type Value Set,"Tumor pathology event type","StructureDefinition/tumor-pathology-event","THO"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/VSBodySite,2.1.0,draft,,VSBodySite, Bodysite Value Set,"Bodysite","StructureDefinition/onco-imagingstudy","Internal"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/VSLocalizationMethod,2.1.0,draft,,VSLocalizationMethod,Localization Method Value Set,"Localization Method",,
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/VSModality,2.1.0,draft,,VSModality, Modality Value Set,"Modality","StructureDefinition/onco-imagingstudy","Internal,THO,Other"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/VitalStatus,2.1.0,draft,,VitalStatus,Vital Status Value Set,"Vital status","StructureDefinition/vital-status","THO"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/codexrt-radiotherapy-reason-for-revision-or-adaptation-vs,2.1.0,draft,,RadiotherapyReasonReplanificationVS,Radiotherapy Reason Replanification,"Radiotherapy Reason Replanification","StructureDefinition/reasonReplanification","Internal"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/mcode-radiotherapy-treatment-location-qualifier-vs,2.1.0,draft,,RadiotherapyTreatmentLocationQualifierVS,Radiotherapy Treatment Location Qualifier Value Set,"Various modifiers that can be applied to body locations where radiotherapy treatments can be directed.",,"Internal"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/mcode-radiotherapy-volume-type-vs,2.1.0,draft,,RadiotherapyVolumeTypeVS,Radiotherapy Volume Type Value Set,"Codes describing the types of body volumes used in radiotherapy planning and treatment. The value set includes the most common codes from DICOM CID 9534 Radiotherapy Targets (UID 1.2.840.10008.6.1.1244) and adds a code for Organs at Risk (OAR).",,"Internal"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/vs-radiotherapy-category,2.1.0,draft,,VSRadiotherapyCategory,Radiotherapy Category,"Radiotherapy Category","StructureDefinition/radiotherapy-phase,StructureDefinition/radiotherapy-plan,StructureDefinition/radiotherapy-course-summary","Internal"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/vs-radiotherapy-intent,2.1.0,draft,,VSRadiotherapyIntent,Radiotherapy Intent,"RadioTherapy Intent ","StructureDefinition/treatmentIntent","Internal"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/vs-radiotherapy-termination-reason,2.1.0,draft,,VSRadiotherapyTerminationReason,Radiotherapy Termination Reason,"Radiotherapy Termination Reason","StructureDefinition/treatmentTerminationReason","Internal"
