URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/uv/genomics-reporting/ValueSet/hgnc,1.0.0,active,,HGNC,HGNC,"This value set includes all HGNC Codes, which includes multiple code systems. In this guide, Gene IDs from HGNC are used as CodeableConcepts, which must be sent with the HGNC gene ID including the prefix 'HGNC:' as the `code` and the HGNC 'gene symbol' as `display`. CAUTION: HGNC also indexes gene groups by numeric ID (without a prefix), and older systems may send HGNC gene IDs without the prefix, so care must be taken to confirm alignment. We have separately included the genegroup code system to draw attention to this ambiguity and potential error.","StructureDefinition/expression,StructureDefinition/fusion","hl7.terminology.r4,Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/CytoBand,1.1.0,draft,,CytoBand,CytoBand Value Set,"CytoBand","StructureDefinition/snp","THO,Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/DNAChangeType,1.1.0,draft,,DNAChangeType,DNA Change Type Value Set,"DNAChangeType","StructureDefinition/snp","LOINC,Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/FusionType,1.1.0,draft,,FusionType,Fusion Type Value Set,"Fusion Type","StructureDefinition/fusion","LOINC,Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/GeneExpressionDataType,1.1.0,draft,,GeneExpressionDataType,Gene Expression Data Type Value Set,"Gene Expression Data Type","StructureDefinition/gene-expression-data-type","Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/GeneticMaterial,1.1.0,draft,,GeneticMaterial,GeneticMaterial,"Genetic material","StructureDefinition/molecular-sequence-5-prime,StructureDefinition/molecular-sequence-3-prime","THO,Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/GenomeBuild,1.1.0,draft,,GenomeBuild,GenomeBuild Value Set,"GenomeBuild","StructureDefinition/snp","Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/GenomeEntityType,1.1.0,draft,,GenomeEntityType,Genome entity type Value Set,"Type of genome entity","StructureDefinition/molecular-sequence-5-prime,StructureDefinition/molecular-sequence-3-prime,StructureDefinition/genomeentityType","THO"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/Laterality,1.1.0,draft,,Laterality,Tumor Laterality Value Set,"Tumor laterality","StructureDefinition/laterality","THO"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/Morphology,1.1.0,draft,,Morphology,Morphology Value Set,"Cancer morphology","StructureDefinition/tumor-pathology-event","THO"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/MutationPrediction,1.1.0,draft,,MutationPrediction,Mutation prediction Value Set,"Mutation prediction","StructureDefinition/variant-annotation","Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/OsirisValidationType,1.1.0,draft,,OsirisValidationType,Osiris Validation Type,"Osiris validation type","StructureDefinition/data-validation","Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/PanelName,1.1.0,draft,,PanelName,Panel Name,"Panel Name","StructureDefinition/sequencing-device","THO,Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/Parentage,1.1.0,draft,,Parentage,Parentage Value Set,"Parentage","StructureDefinition/family-cancer-history","THO,Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/Pathogenicity,1.1.0,draft,,Pathogenicity,Pathogenicity Value Set,"Pathogenicity","StructureDefinition/copy-number,StructureDefinition/snp,StructureDefinition/expression,StructureDefinition/fusion","THO,Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/PlatformName,1.1.0,draft,,PlatformName,Platform Name,"Platform Name","StructureDefinition/sequencing-device","THO,Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/ROIType,1.1.0,draft,,ROIType,ROI Type Value Set,"ROI Type","StructureDefinition/roi-segmentation","Internal"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/RadiomicsFeaturesVS,1.1.0,draft,,RadiomicsFeaturesVS,Radiomic Features Value Set,"Radiomic Features","StructureDefinition/radiomics-features","Internal,THO"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/ReferenceType,1.1.0,draft,,ReferenceType,Reference Type Value Set,"Annotation reference type","StructureDefinition/annotation-reference","THO,Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/ResponseEvaluationStatus,1.1.0,draft,,ResponseEvaluationStatus,Response Status Value Set,"Response evaluation status","StructureDefinition/response-evaluation","THO,Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/StorageTemperature,1.1.0,draft,,StorageTemperature,Storage temperature Value Set,"Sample storage temperature","StructureDefinition/onco-biological-sample","THO,Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/SurgeryResectionQuality,1.1.0,draft,,SurgeryResectionQuality,Surgery Resection Quality Value Set,"Surgery resection quality","StructureDefinition/onco-surgery","THO,Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/TNMVersion,1.1.0,draft,,TNMVersion,TNM Version Value Set,"TNM version",,"Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/TechnicalProtocol,1.1.0,draft,,TechnicalProtocol,Analysis Technical Protocol,"Analysis technical protocol","StructureDefinition/sequencing-analysis","Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/Topography,1.1.0,draft,,Topography,Topography Value Set,"Cancer topography","StructureDefinition/tumor-pathology-event,StructureDefinition/family-cancer-history,StructureDefinition/onco-biological-sample","THO"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/TreatmentType,1.1.0,draft,,TreatmentType,Treatment Type Value Set,"Treatment type","StructureDefinition/treatment","THO"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/TumorPathologyEventType,1.1.0,draft,,TumorPathologyEventType,Tumor Pathology Event Type Value Set,"Tumor pathology event type","StructureDefinition/tumor-pathology-event","THO"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/VSBodySite,1.1.0,draft,,VSBodySite, Bodysite Value Set,"Bodysite","StructureDefinition/onco-imagingstudy","Internal"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/VSLocalizationMethod,1.1.0,draft,,VSLocalizationMethod,Localization Method Value Set,"Localization Method",,
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/VSModality,1.1.0,draft,,VSModality, Modality Value Set,"Modality","StructureDefinition/onco-imagingstudy","Internal,THO,Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/VitalStatus,1.1.0,draft,,VitalStatus,Vital Status Value Set,"Vital status","StructureDefinition/vital-status","THO"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/codexrt-radiotherapy-reason-for-revision-or-adaptation-vs,1.1.0,draft,,RadiotherapyReasonReplanificationVS,Radiotherapy Reason Replanification,"Radiotherapy Reason Replanification","StructureDefinition/reasonReplanification","Internal"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/mcode-radiotherapy-treatment-location-qualifier-vs,1.1.0,draft,,RadiotherapyTreatmentLocationQualifierVS,Radiotherapy Treatment Location Qualifier Value Set,"Various modifiers that can be applied to body locations where radiotherapy treatments can be directed.",,"Internal"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/mcode-radiotherapy-volume-type-vs,1.1.0,draft,,RadiotherapyVolumeTypeVS,Radiotherapy Volume Type Value Set,"Codes describing the types of body volumes used in radiotherapy planning and treatment. The value set includes the most common codes from DICOM CID 9534 Radiotherapy Targets (UID 1.2.840.10008.6.1.1244) and adds a code for Organs at Risk (OAR).",,"Internal"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/vs-radiotherapy-category,1.1.0,draft,,VSRadiotherapyCategory,Radiotherapy Category,"Radiotherapy Category","StructureDefinition/radiotherapy-phase,StructureDefinition/radiotherapy-plan,StructureDefinition/radiotherapy-course-summary","Internal"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/vs-radiotherapy-intent,1.1.0,draft,,VSRadiotherapyIntent,Radiotherapy Intent,"RadioTherapy Intent ","StructureDefinition/treatmentIntent","Internal"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/vs-radiotherapy-termination-reason,1.1.0,draft,,VSRadiotherapyTerminationReason,Radiotherapy Termination Reason,"Radiotherapy Termination Reason","StructureDefinition/treatmentTerminationReason","Internal"
